id	title	channel_id	tags
174	校党委 理论学习 中心组 专题学习 2018年 全国 两会 精神 	4	学校要闻
175	陕西省 大学生 征兵 工作 督查组 来 我校 检查 调研 	4	学校要闻
176	我校 计算机技术 软件工程 工程硕士 专业学位 授权 点 顺利 通过 合格 评估 	4	学校要闻
177	国家 自然科学基金 重大项目 黄土高原 重大 工程 灾变 机理 与 防 控 启动 及 专家 咨询 会在 西安 召开 	4	学校要闻
178	校领导 到 中国 路桥 工程 有限责任 公司 访问 交流 	4	学校要闻
179	校领导 赴 中 交 通力 建设 股份有限公司 走访 调研 	4	学校要闻
180	公路 学院 60年 院庆 筹备 座谈会 召开 	4	学校要闻
181	我校 举办 世界 读书 日 经典 诵读 会 	4	学校要闻
182	我校 在 全国 第五届 大学生 艺术 展演 活动 中 荣获 佳绩 	4	学校要闻
183	中国 公路 学会 交通 工程 与 信息化 分会 及 中 咨 集团 到访 我校 调研 交通 工程 学科建设 并 洽谈 合作 	4	学校要闻
184	2018年 学生 工作 第四次 例会 召开 	4	学校要闻
185	我校 与 陕 汽 控股 商用车 人才培养 合作 签约 仪式 举行 	4	综合新闻
186	机关作风 建设 工作会议 召开 	4	学校要闻
187	2018年 工程 教育 专业 认证 评估 工作 推进 会议 召开 	4	学校要闻
188	西安交通 大 学来 我校 举办 专场 演出 	4	学校要闻
189	2018届 毕业生 就业 工作会议 召开 	4	学校要闻
190	我校 与 佳县 开展 结对 帮扶 工作 座谈 	4	学校要闻
191	我校 秦 小利 高级技师 荣获 西安市 首席 技师 荣誉称号 	4	学校要闻
192	佳县 县委书记 刘 生 胜 行 到 我校 开展 结对 帮扶 工作 座谈 	4	学校要闻
193	国务院 马克思主义 学科 评议 组成员 华东师范大学 宋 进 教授 应邀 来 我校 作 学术报告 	4	学校要闻
194	渭水 校区 管委会 第 65次 工作会议 召开 	4	学校要闻
195	宁夏 燕 宝 慈善 基金 会来 我校 进行 2018年 捐资助学 调研 活动 	4	学校要闻
196	我校 统战部 侨联 举行 汇聚 侨 力 进献 德 能 主题 活动 	4	综合新闻
197	佳县 县委书记 刘 生 胜 一行 到 我校 开展 结对 帮扶 工作 座谈 	4	学校要闻
198	2018年 女 教职工 工作会议 召开 	4	学校要闻
199	校党委 书记 杜 向 民为 我校 学生 作 形势 与 政策 专题报告 	4	学校要闻
200	陈 峰 校长 应邀出席 2018 丝绸之路 教育 合作 交流会 并与 吉尔吉斯斯坦 国立 工程 交通 与 建筑 大学 签署 合 作协 	4	学校要闻
201	我校 公共 管理 一级 学科 硕士学位 授权 点 顺利 通过 合格 评估 	4	学校要闻
202	我校 组织 领导干部 和 涉密 人员 参加 保密 教育 轮训 	4	学校要闻
203	我校 举办 2018年 未婚 青年 教职工 联谊 活动 	4	综合新闻
204	我校 哲学 一级 学科 硕士学位 授权 点 顺利 通过 合格 评估 	4	学校要闻
205	中国 石化 大连 石油化工 研究院 到访 我校 并 签署 产学研 合作 协议 	4	学校要闻
206	陕 汽 控股 与 长安 大学 一带 一路 国际化 人才培养 合作 签约 仪式 在 我校 举行 	4	学校要闻
207	广西 国土资源 系统 国土 资源管理 业务 提升 研修班 开班 典礼 举行 	4	综合新闻
208	我校 第 十一届 研究生 篮球联赛 圆满结束 	4	综合新闻
209	统战部 侨联 举行 汇聚 侨 力 进献 德 能 主题 活动 	4	综合新闻
210	国家 发展 和 改革 委员会 社会 司 来 校 考察 	4	学校要闻
211	西安 思源 学院 校 长安 宇 教授 到 我校 访问 	4	学校要闻
212	2018年 大型 仪器设备 申购 论证 工作 安排 会 召开 	4	学校要闻
213	2018年 学生 工作 第五次 例会 召开 	4	学校要闻
214	第八届 模拟 招聘会 决赛 圆满 落幕 	4	综合新闻
215	吉利 控股集团 长安 大学 吉 先锋 俱乐部 签约 仪式 在 我校 举行 	4	学校要闻
216	我校 材料 工程 工程硕士 专业学位 授权 点 顺利 通过 合格 评估 	4	学校要闻
217	第 十五届 渭水 之星 风采 大赛 决赛 举行 	4	学校要闻
218	住 建部 高等教育 建筑 环境 与 能源 应用 工程 专业 评估 复评 专家组 在 我校 评估 视察 	4	学校要闻
219	陈 峰 校长 调研 渭水 校区 教职工 工作 用房 进展 情况 	4	学校要闻
220	中国 测绘 地理信息 学会 理事长 宋 超 智 来 我校 作 新 测绘法 解读 讲座 	4	学校要闻
221	2018年 长安 大学 基干民兵 分队 整组 会议 召开 	4	学校要闻
222	李 佩 成 院士 学术 报告会 暨 赠书 仪式 在 我校 举行 	4	学校要闻
223	民进 长安 大学 支部 召开 旬邑县 精准 扶贫 工作 研讨会 	4	综合新闻
224	学校 召开 四场 学科建设 推进 会 研讨 一流 学科建设 	4	学校要闻
225	我校 相关 部门 赴 佳县 开展 工程 技术服务 帮扶 工作 	4	学校要闻
226	校 青 工委 召开 工作 培训 会议 	4	综合新闻
227	第二次 扶贫 支教 工作 领导 小组会议 召开 	4	学校要闻
228	我校 6项 成果 获 陕西省 第 十 三次 哲学 社会科学 优秀 成果奖 	4	学校要闻
229	我校 落实 教育部 开展 师德 建设 长效机制 专项 督查 工作会议 召开 	4	学校要闻
230	我校 学 生在 第 十 三届 全国 大学生 交通 科技 大赛 中 荣获 佳绩 	4	学校要闻
231	2018年 第二期 研究生 骨干 培训 大会 成功 举办 	4	综合新闻
232	第 十 二届 芳华 长安 汽车 模特大赛 决赛 举行 	4	综合新闻
233	住 建部 高等教育 建筑学 专业 评估 专家组 对 我校 建筑学 专业本科 硕士 教学 进行 评估 视察 	4	学校要闻
234	陕西省 科学技术 奖励 大 会在 西安 召开 	4	学校要闻
235	第 十五届 彩虹 心理 文化节 暨 心理健康 教育 与 咨询中心 开放 日 主题 活动 举行 	4	学校要闻
236	第五届 张 伯 声 奖 颁奖典礼 举办 	4	学校要闻
237	研 途 有 梦 走进 名 企 第五届 研究生 职业 社会实践 活动 举办 	4	综合新闻
238	2018年 第三次 研究生 工作 例会 召开 	4	学校要闻
239	校领导 带队 到 西 咸 新区 秦汉 新城 调研 	4	学校要闻
240	加拿大 滑铁卢 大学 副校长 susan louise tighe 教授 一行 应邀 访问 我校 	4	学校要闻
241	我校 研 哲 辩 理 论战 长安 第二届 研究生 辩论赛 决赛 举行 	4	综合新闻
242	二级 学院 目标 责任 管理 与 绩效考核 专项 办法 征求意见 会议 召开 	4	学校要闻
243	陕西 高校 毕业生 建功立业 先进事迹 报告团 走进 我校 	4	学校要闻
244	绿色 智能 道路 建 养 装备 研究院 揭牌 仪式 暨 sgtop 产品 发布 会在 中 交 西 筑 举行 	4	学校要闻
245	汇 通 路桥 建设 集团 有限公司 到访 我校 并 进行 合作项目 座谈 	4	学校要闻
246	住 建部 高等教育 给 排水 科学 与 工程 专业 评估 认证 专家组 在 我校 评估 视察 	4	学校要闻
247	港 珠 澳 大桥 管理局 智慧 大桥 项目 对接 交流 会在 我校 举行 	4	学校要闻
248	中法 公路工程 标准 对接 研讨 会在 我校 举行 	4	学校要闻
249	我校 与 山 东华 鉴 工程 检测 有限公司 签署 产学研 合作 协议 	4	学校要闻
250	教育部 高等学校 学科 创新 引 智 计划 西部 地质灾害 与 地质 工程 学科 创新 引 智 基地 111 基地 项目 启动 仪式 暨 	4	学校要闻
251	韩国 驻 西安 领事馆 总领事 李 康 国一 行 访问 我校 	4	学校要闻
252	国务院 马克思主义 学科 评议 组成员 武汉 大学 骆 郁 廷 教授 应邀 为 我校 为 师生 作 专题 学术报告 	4	学校要闻
253	空军 工程 大学 防空 反导 学院 李 常 明 政委 一行 来 我校 参观 交流 	4	学校要闻
254	校 工会组织 践行 新思想 奋进 新时代 助力 脱贫 攻坚 送 教 活动 	4	综合新闻
255	2018年 高等教育 给 排水 科学 与 工程 专业 评估 委员会 全体会议 在 我校 举行 	4	学校要闻
256	党建 质量 年 暨 机关作风 建设 动员 部署 会 召开 	4	学校要闻
257	国务院 马克思主义 学科 评议 组成员 武汉 大学 骆 郁 廷 教授 应邀 为 我校 师生 作 专题 学术报告 	4	学校要闻
258	校领导 赴 商南县 开展 乡村规划 扶贫 工作 	4	学校要闻
259	研究生 保密 教育 培训 暨 保密 知识 竞赛活动 举办 	4	综合新闻
260	2018年 平安 留学 出国 留学 行前 培训 会 召开 	4	综合新闻
261	俄罗斯 科学院 通讯 院士 filaretov gennady 一行 应邀 访问 我校 	4	学校要闻
262	民盟 陕西 省委 来 我校 进行 高校 民盟 基层 组织建设 调研 	4	综合新闻
263	思 政 课 大 练兵 国务院 马克思主义 学科 评议 组成员 武汉 大学 骆 郁 廷 教授 应邀 为 我校 师生 作 专题 学术报告 	4	学校要闻
264	校党委 书记 杜 向 民 参加 联系 班级 班会 	4	学校要闻
265	我校 韩 飞 博士 入选 2018 年度 博士后 创新 人才 支持 计划 	4	学校要闻
266	陕西省 弘扬 西 迁 精神 暨 科学 道德 和 学风 建设 宣讲 报告会 召开 	4	综合新闻
267	长安 通讯社 2017-2018 学年 总结 与 表彰大会 召开 	4	学校要闻
268	我校 在 佳县 开展 贫困 劳动力 创业 培训 	4	综合新闻
269	教育部 对 我校 基本建设 规范化 管理 进行 专项 检查 	4	学校要闻
270	我校 举办 潘 菁 璀璨 迎 韵 悠扬 肆 季 学生 毕业 演唱会 	4	综合新闻
271	我校 主办 的 第二届 高分子材料 产学研 论坛 在 西安 举行 	4	学校要闻
272	我校 机械工程 工业设计 工程硕士 专业学位 授权 点 顺利 通过 合格 评估 	4	学校要闻
273	2017 2018 学年 长安 大学校 科协 五四 评优 答辩 工作 开展 	5	团学新闻
274	青春 长大 羽 你 同行 2018年 长安 大学 研究生 羽毛球 交流 日 活动 圆满结束 	5	团学新闻
275	长安 大学 青年 志愿者 服务 总队 走出 校园 走进 历史 主题 活动 圆满结束 	5	团学新闻
276	蓦然回首 灯火阑珊 灯谜 晚会 成功 举行 	5	团学新闻
277	2018年 长安 大学 研究生 团工委 工作会议 顺利 召开 	5	团学新闻
278	长安 大学 青马 学校 经典 诵读 会 初赛 举行 	5	团学新闻
279	长安 大学 青年 马克思主义者 培养 学校 社团 骨干 班 学 在 十九 大 青春 跟党走 春日 三走 活动 圆满结束 	5	团学新闻
280	携手 共建 悦 享 书香 校本部 图书馆 流通 书库 评比 活动 顺利开展 	5	团学新闻
281	陕西 高校学生 科 创 发展 交流 会于 我校 举行 	5	团学新闻
282	长安 大学 青马 学校 第十期 新 媒体 骨干 培训班 新 媒体 运营 技巧 与 体会 技能 专题 培训 会 顺利开展 	5	团学新闻
283	长安 大学 学生 社团 联合会 应邀参加 西安 医学院 第 十 二届 社团 嘉年华 	5	团学新闻
284	研 途 有 梦 博 路 起航 第二届 博士生 讲坛 顺利 举办 	5	团学新闻
285	长安 大学 2018年 班 团支部 五小 创 复赛 成功 举行 	5	团学新闻
286	长安 大学 新一代 交通 信息 研究院 举行 logo 征集 大赛 颁奖仪式 	5	团学新闻
287	长安 大学 大学生 艺术团 2017 2018 学年 第二 学期 第三次 部长级 例会 顺利 召开 	5	团学新闻
288	长安 大学 学生 社团 联合会 2017 2018 学年 第二 学期 第二次 部长级 会议 顺利 召开 	5	团学新闻
289	第八届 心理 分析 与 中国文化 国际 论坛 志愿 服务 活动 圆满结束 	5	团学新闻
290	长安 大学 大学生 艺术团 we are one 主题 团建 活动 顺利 举办 	5	团学新闻
291	长安 大学 第八届 创业 先锋 挑战赛 决赛 成功 举行 	5	团学新闻
292	长安 大学 第五届 学术 争鸣 启迪 智慧 研究生 学术 论文集 优秀论文 报告会 顺利 举办 	5	团学新闻
293	长安 大学 青年 志愿者 服务 总队 清风 袭 渭水 热血 吟 青春 献血车 进校园 活动 圆满成功 	5	团学新闻
294	长安 大学 青马 学校 第十期 研究生 骨干 培训班 守望 心灵 团体 心理 辅导 活动 顺利 举行 	5	团学新闻
295	2017 2018 学年 第二 学期 青年 传媒 中心 第一次 部长级 例会 成功 召开 	5	团学新闻
296	长安 大学 第 十 七届 音 渭 有 你 乐 满 长安 校园 之春 歌手 大赛 总决赛 圆满 落幕 	5	团学新闻
297	长安 大学 趣味 快 闪 活动 成功 举办 	5	团学新闻
298	长安 大学 研 途 有 你 学术论坛 第 十六 讲 成功 举办 	5	团学新闻
299	长安 大学 首届 校园 科技交流 节 成功 举办 	5	团学新闻
300	2017 2018 学年 长安 大学校 院 两级 研究生 会 主席 第二次 联席会议 顺利 召开 	5	团学新闻
301	长安 大学 青马 学校 第十期 研究生 骨干 培训班 读书 分享 会 	5	团学新闻
302	长安 大学 第 十 七届 音 渭 有 你 乐 满 长安 校园 之春 歌手 大赛 半决赛 圆满 落幕 	5	团学新闻
